Fiscal Year,Slicer,COVID FILTER,Data Slicer,Location,Offenses,Select Sheet,Stage Filter,AGE ,AGE1,All,Basic Race Sex Ethnicity,Category1,Circuit1,County   ,COVIDMONTHS,Date,Ethnic Group,Gender1,Offense1,Region,Stage,Stages1,Arrests,Arrests per 1000,Arrests/Youth,Arrests/Youth ,Youth,Youth per 1000,Youth Population,Youthpop
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Other,1,Escambia,1,1/15/2020,Black,Female,Contempt of Court,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,1,Escambia,1,1/29/2020,Black,Female,Violation of Probation Non-Law,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,1,Escambia,1,9/25/2019,Black,Female,Violation of Probation Non-Law,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,1,Escambia,1,10/23/2019,Black,Female,Prosecution Previously Deferred,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Other,1,Escambia,2,4/9/2020,Black,Female,Violation of Probation Non-Law,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Other,1,Escambia,1,12/4/2019,Black,Female,Violation of Probation Non-Law,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Other,1,Escambia,1,10/15/2019,Black,Female,Violation of Probation Non-Law,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Other,1,Escambia,2,6/8/2020,Black,Female,Contempt of Court,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Felony,1,Escambia,1,1/11/2020,Black,Female,Agg Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Felony,1,Escambia,1,12/29/2019,Black,Female,Burglary,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,12,All,Black Female,Felony,1,Escambia,1,3/17/2020,Black,Female,Agg Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,11,All,Black Female,Felony,1,Escambia,1,10/6/2019,Black,Female,Agg Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,18,All,Black Female,Other,1,Escambia,1,9/6/2019,Black,Female,Contempt of Court,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Other,1,Escambia,1,7/16/2019,Black,Female,Violation of Probation New-Law,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Other,1,Escambia,1,10/29/2019,Black,Female,Contempt of Court,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,1,Escambia,1,10/18/2019,Black,Female,Contempt of Court,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Other,1,Escambia,1,9/6/2019,Black,Female,Contempt of Court,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Felony,1,Escambia,1,7/11/2019,Black,Female,Armed Robbery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Felony,1,Escambia,1,8/29/2019,Black,Female,Agg Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Felony,1,Escambia,1,9/9/2019,Black,Female,Agg Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Felony,1,Escambia,1,8/23/2019,Black,Female,Agg Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Felony,1,Escambia,1,8/16/2019,Black,Female,Agg Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,11,All,Black Female,Felony,1,Escambia,1,10/29/2019,Black,Female,Other Fel Sex Offense,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,1,Escambia,1,9/20/2019,Black,Female,Contempt of Court,North,Arrests,Intake,2,0,0,0,0,0,4902,9804
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,18,All,Black Female,Misdemeanor,1,Escambia,1,3/5/2020,Black,Female,Disorderly Conduct,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,1,Escambia,1,3/4/2020,Black,Female,Petit Larceny,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,1,Escambia,1,1/10/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,1,Escambia,1,3/24/2020,Black,Female,Disorderly Conduct,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,1,Escambia,1,3/18/2020,Black,Female,Disorderly Conduct,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,1,Escambia,1,2/6/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,1,Escambia,1,9/27/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,12,All,Black Female,Misdemeanor,1,Escambia,1,2/11/2020,Black,Female,Trespassing,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,12,All,Black Female,Misdemeanor,1,Escambia,1,8/2/2019,Black,Female,Disorderly Conduct,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,11,All,Black Female,Misdemeanor,1,Escambia,1,3/3/2020,Black,Female,Trespassing,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,11,All,Black Female,Misdemeanor,1,Escambia,1,11/18/2019,Black,Female,Disorderly Conduct,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Felony,1,Escambia,1,9/26/2019,Black,Female,Agg Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,1,Escambia,1,1/1/2020,Black,Female,Misd Obstruct Justice,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,1,Escambia,1,3/17/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,1,Escambia,1,10/22/2019,Black,Female,Vandalism,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Misdemeanor,1,Escambia,1,1/10/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,1,Escambia,1,2/4/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Misdemeanor,1,Escambia,1,7/29/2019,Black,Female,Assault/Battery,North,Arrests,Intake,0,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,1,Escambia,1,8/7/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Misdemeanor,1,Escambia,1,8/28/2019,Black,Female,Trespassing,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Misdemeanor,1,Escambia,1,8/22/2019,Black,Female,Misdemeanor Drug,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Misdemeanor,1,Escambia,1,3/25/2020,Black,Female,Disorderly Conduct,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Misdemeanor,1,Escambia,1,7/10/2019,Black,Female,Disorderly Conduct,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Misdemeanor,1,Escambia,1,9/4/2019,Black,Female,Disorderly Conduct,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,1,Escambia,1,9/4/2019,Black,Female,Disorderly Conduct,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,1,Escambia,1,8/30/2019,Black,Female,Disorderly Conduct,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,1,Escambia,1,3/18/2020,Black,Female,Disorderly Conduct,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,1,Escambia,1,9/30/2019,Black,Female,Disorderly Conduct,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,11,All,Black Female,Misdemeanor,1,Escambia,1,9/18/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,1,Escambia,2,5/4/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,1,Escambia,1,1/24/2020,Black,Female,Disorderly Conduct,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,12,All,Black Female,Misdemeanor,1,Escambia,1,8/24/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,12,All,Black Female,Misdemeanor,1,Escambia,1,2/20/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Misdemeanor,1,Escambia,1,3/31/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,1,Escambia,1,8/6/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Misdemeanor,1,Escambia,1,12/24/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Misdemeanor,1,Escambia,1,7/3/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,1,Escambia,1,9/7/2019,Black,Female,Vandalism,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,1,Escambia,2,5/7/2020,Black,Female,Petit Larceny,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,1,Escambia,1,1/29/2020,Black,Female,Trespassing,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,1,Escambia,2,4/25/2020,Black,Female,Petit Larceny,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,1,Escambia,1,10/5/2019,Black,Female,Petit Larceny,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,1,Escambia,1,7/17/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Misdemeanor,1,Escambia,2,5/16/2020,Black,Female,Vandalism,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Misdemeanor,1,Escambia,1,9/26/2019,Black,Female,Disorderly Conduct,North,Arrests,Intake,2,0,2,2,2,0,4902,9804
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Misdemeanor,1,Escambia,1,3/31/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,1,Escambia,1,2/4/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,1,Escambia,1,9/17/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Misdemeanor,1,Escambia,1,8/12/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,12,All,Black Female,Misdemeanor,1,Escambia,2,5/9/2020,Black,Female,Petit Larceny,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,12,All,Black Female,Misdemeanor,1,Escambia,2,4/11/2020,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,11,All,Black Female,Misdemeanor,1,Escambia,1,1/31/2020,Black,Female,Petit Larceny,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 5 - 12,10,All,Black Female,Misdemeanor,1,Escambia,1,1/31/2020,Black,Female,Petit Larceny,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,1,Escambia,1,7/29/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,1,Escambia,1,3/10/2020,Black,Female,Petit Larceny,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Misdemeanor,1,Escambia,1,11/27/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Misdemeanor,1,Escambia,2,4/4/2020,Black,Female,Trespassing,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,1,Escambia,1,10/12/2019,Black,Female,Petit Larceny,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Misdemeanor,1,Escambia,1,8/22/2019,Black,Female,Assault/Battery,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Misdemeanor,1,Escambia,2,5/16/2020,Black,Female,Petit Larceny,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,18,All,Black Female,Misdemeanor,1,Escambia,2,4/16/2020,Black,Female,Petit Larceny,North,Arrests,Intake,1,0,1,1,1,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Other,1,Escambia,1,1/28/2020,Black,Female,Prosecution Previously Deferred,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Other,1,Escambia,1,9/9/2019,Black,Female,Violation of Probation Non-Law,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Other,1,Escambia,1,8/23/2019,Black,Female,Violation of Probation Non-Law,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,13,All,Black Female,Other,1,Escambia,1,11/13/2019,Black,Female,Prosecution Previously Deferred,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Other,1,Escambia,2,5/11/2020,Black,Female,Violation of Probation Non-Law,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Other,1,Escambia,2,4/24/2020,Black,Female,Violation of Probation Non-Law,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,17,All,Black Female,Other,1,Escambia,1,8/23/2019,Black,Female,Violation of Probation New-Law,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Other,1,Escambia,2,5/18/2020,Black,Female,Violation of Probation New-Law,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Other,1,Escambia,2,4/14/2020,Black,Female,Violation of Probation New-Law,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Other,1,Escambia,1,12/2/2019,Black,Female,Violation of Probation New-Law,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Other,1,Escambia,1,3/3/2020,Black,Female,Contempt of Court,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Other,1,Escambia,1,11/22/2019,Black,Female,Contempt of Court,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,16,All,Black Female,Other,1,Escambia,1,7/3/2019,Black,Female,Contempt of Court,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,1,Escambia,1,1/13/2020,Black,Female,Violation of Probation Non-Law,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,1,Escambia,1,9/18/2019,Black,Female,Violation of Probation Non-Law,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,1,Escambia,1,8/15/2019,Black,Female,Violation of Probation Non-Law,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,1,Escambia,2,6/8/2020,Black,Female,Contempt of Court,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,1,Escambia,1,2/28/2020,Black,Female,Contempt of Court,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,1,Escambia,1,2/5/2020,Black,Female,Contempt of Court,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 15 - 16,15,All,Black Female,Other,1,Escambia,1,11/14/2019,Black,Female,Contempt of Court,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Other,1,Escambia,2,6/10/2020,Black,Female,Violation of Probation Non-Law,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Other,1,Escambia,2,5/5/2020,Black,Female,Violation of Probation Non-Law,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Other,1,Escambia,1,3/5/2020,Black,Female,Violation of Probation Non-Law,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Other,1,Escambia,1,2/5/2020,Black,Female,Violation of Probation Non-Law,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,18,All,Black Female,Other,1,Escambia,1,3/13/2020,Black,Female,Contempt of Court,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 17+,18,All,Black Female,Other,1,Escambia,1,10/4/2019,Black,Female,Contempt of Court,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
FY 2019-20,Female,TRUE,TRUE,TRUE,TRUE,S1,TRUE,Age 13 - 14,14,All,Black Female,Felony,1,Escambia,1,1/14/2020,Black,Female,Burglary,North,Arrests,Intake,1,0,0,0,0,0,4902,4902
